<node>	<field>	<description>	<type>	<terms>	<pattern>	<maximum>	<minimum>	<options1>	<options2>	<options3>	<options4>	<options5>	<options6>	<options7>	<options8>
subject	amikacin_res_phenotype		enum					Susceptible | Resistant 							
subject	capreomycin_res_phenotype		enum					Susceptible | Resistant 							
subject	ethambutol_res_phenotype		enum					Susceptible | Resistant 							
subject	isoniazid_res_phenotype		enum					Susceptible | Resistant 							
subject	kanamycin_res_phenotype		enum					Susceptible | Resistant 							
subject	ofloxacin_res_phenotype		enum					Susceptible | Resistant 							
subject	rifampin_res_phenotype		enum					Susceptible | Resistant 							
subject	streptomycin_res_phenotype		enum					Susceptible | Resistant 							
subject	pyrazinamide_res_phenotype		enum					Susceptible | Resistant 							
subject	rifampicin_res_phenotype		enum					Susceptible | Resistant 							
subject	prothionamide_res_phenotype		enum					Susceptible | Resistant 							
subject	hiv_status	"HIV Status
"	enum					positive | negative 							
subject	cohort_id	"Cohort identifier
"	integer												
subject	cohort_name	"Cohort name
"	string												
subject	geographic_location	"Location of experiment.
"	string												
subject	study_center	"Study Site (where enrolled)
"	enum					Baltimore | Chicago | Pittsburgh | Los Angeles | Bronx | Brooklyn | San Francisco | Washington | Atlanta | Birmingham | Chapel Hill | Miami 							
subject	species	Taxonomic species of the subject.	enum					Drosophila melanogaster | Homo sapiens | Mus musculus | Mustela putorius furo | Rattus rattus | Sus scrofa | Mycobacterium tuberculosis 							
subject	strain	"A lower-level taxonomic rank used in microbiology or virology, plants and rodents, usually at the intraspecific level (within a species)
"	string												
subject	taxon_id	"NCBI identifier for classification of organisms.
"	integer												
subject	genus	"Genus of organism collected.
"	string												
subject	host_name	"The species from which the bacteria was isolated.
"	string												
subject	genome_length	"Number of basepairs of genome sequenced.
"	integer												
subject	genome_id	"PATRIC unique identifier for genome sequenced.
"	string												
subject	primary_site	Primary site for the project.	enum					Accessory sinuses | Adrenal gland | Anus and anal canal | Base of tongue | Bladder | Bones, joints and articular cartilage of limbs | Bones, joints and articular cartilage of other and unspecified sites | Brain | Breast | Bronchus and lung | Cervix uteri | Colon | Connective, subcutaneous and other soft tissues | Corpus uteri | Esophagus | Floor of mouth | Gallbladder | Gum | Heart, mediastinum, and pleura | Hematopoietic and reticuloendothelial systems | Hypopharynx | Kidney | Larynx | Lip | Liver and intrahepatic bile ducts | Lymph nodes | Meninges | Nasal cavity and middle ear | Nasopharynx | Oropharynx | Other and ill-defined digestive organs | Other and ill-defined sites | Other and ill-defined sites in lip, oral cavity and pharynx | Other and ill-defined sites within respiratory system and intrathoracic organs | Other and unspecified female genital organs | Other and unspecified major salivary glands | Other and unspecified male genital organs | Other and unspecified parts of biliary tract | Other and unspecified parts of mouth | Other and unspecified parts of tongue | Other and unspecified urinary organs | Other endocrine glands and related structures | Ovary | Palate | Pancreas | Parotid gland | Penis | Peripheral nerves and autonomic nervous system | Placenta | Prostate gland | Pyriform sinus | Rectosigmoid junction | Rectum | Renal pelvis | Retroperitoneum and peritoneum | Skin | Small intestine | Spinal cord, cranial nerves, and other parts of central nervous system | Stomach | Testis | Thymus | Thyroid gland | Tonsil | Trachea | Unknown primary site | Ureter | Uterus, NOS | Vagina | Vulva | Unknown | Not Reported | Adrenal Gland | Bile Duct | Blood | Bone | Bone Marrow | Cervix | Colorectal | Eye | Head and Neck | Liver | Lung | Lymph Nodes | Nervous System | Not Applicable | Pleura | Prostate | Soft Tissue | Thyroid | Uterus 							
subject	index_date	"The reference or anchor date used during date obfuscation, where a single date is obscurred by creating one or more date ranges in relation to this date.
"	enum					Diagnosis | First Patient Visit | Study Enrollment | Infection | Postmenstrual | Baseline Visit | Initial Treatment | Vaccine Administration | Not Specified | Other 							
protein_expression	type		enum					protein_expression 							
protein_expression	data_category		enum	_terms.yaml#/data_category				Protein Profiling 							
protein_expression	data_type		enum	_terms.yaml#/data_type				Protein Expression Quantification 							
protein_expression	data_format		enum	_terms.yaml#/data_format				TXT | TSV | CSV 							
protein_expression	experimental_strategy		enum	_terms.yaml#/experimental_strategy				Liquid chromatography-tandem mass spectrometry 							
bgm_simulation	data_category		enum	_terms.yaml#/data_category				BGM Simulation 							
bgm_simulation	data_type		enum	_terms.yaml#/data_type				BGM Simulation 							
bgm_simulation	data_format		enum	_terms.yaml#/data_format				TSV | TXT | CSV | PNG 							
read_group	id			_definitions.yaml#/UUID											
read_group	project_id			_definitions.yaml#/project_id											
read_group	submitter_id		string												
read_group	state			_definitions.yaml#/state											
read_group	type		enum					read_group 							
read_group	experiment_name		string	_terms.yaml#/experiment_name											
read_group	sequencing_center		string	_terms.yaml#/sequencing_center											
read_group	sequencing_date			_definitions.yaml#/datetime											
read_group	platform		enum	_terms.yaml#/platform				Illumina | SOLiD | LS454 | Ion Torrent | Complete Genomics | PacBio | Other 							
read_group	instrument_model		enum	_terms.yaml#/instrument_model				454 GS FLX Titanium | AB SOLiD 4 | AB SOLiD 2 | AB SOLiD 3 | Complete Genomics | Illumina HiSeq X Ten | Illumina HiSeq X Five | Illumina Genome Analyzer II | Illumina Genome Analyzer IIx | Illumina HiSeq 2000 | Illumina HiSeq 2500 | Illumina HiSeq 4000 | Illumina MiSeq | Illumina NextSeq | Illumina NextSeq 550 | NextSeq 500 | Ion Torrent PGM | Ion Torrent Proton | PacBio RS | Ion S5 XL System, Ion 530 Chip | Other 							
read_group	library_strategy		enum	_terms.yaml#/library_strategy				WGS | WXS | RNA-Seq | ChIP-Seq | miRNA-Seq | Bisulfite-Seq | Validation | Amplicon | Other 							
